id,addition_time,client_id,active,registration_number,brand,color
81,2023-01-22T04:56:56.516759,10517,Y,TOG 840,Dodge Durango,DarkOliveGreen
82,2020-04-14T20:48:21.784616,6600,N,KU-5835,Honda Odyssey,Snow
83,2021-02-01T18:44:59.392104,13996,Y,553431,Lotus Exige,HoneyDew
84,2022-07-30T08:32:37.705829,18200,N,68G J19,GMC Yukon XL 2500,Magenta
85,2021-10-07T02:08:25.547127,10791,N,969468,Suzuki Swift,MediumSeaGreen
86,2020-09-16T13:57:53.141953,878,N,MWH 225,Saturn Outlook,DarkRed
87,2022-02-14T10:55:26.747603,19737,N,5D 4672I,Mercedes-Benz E-Class,Olive
88,2020-06-13T05:50:48.679453,7486,Y,1775,Nissan Frontier King Cab,LightSlateGray
89,2023-01-15T12:36:14.027965,5144,Y,MRO 006,Lincoln MKT,LightSteelBlue
90,2020-03-01T17:52:04.789619,17134,N,84-W782,Ford Econoline E250 Cargo,DarkTurquoise
91,2023-02-12T11:06:00.600433,15902,N,VVU 044,Acura TSX,Cyan
92,2020-09-11T04:57:59.637109,6694,Y,23Y 1498,Chevrolet Silverado (Classic) 1500 Regular Cab,IndianRed
93,2021-03-19T09:00:22.509478,17458,N,726-ZKU,Mercedes-Benz S-Class,MidnightBlue
94,2023-05-08T12:20:57.819700,11083,N,36-G151,Nissan GT-R,DarkSeaGreen
95,2023-06-11T14:12:38.134329,11226,N,9-17894,Hyundai Santa Fe Sport,LightPink
96,2021-11-14T16:46:12.780014,17337,N,7WK97,Ford F450 Super Duty Crew Cab,LightSeaGreen
97,2021-07-20T21:34:07.581444,17639,N,ZJG 066,Acura MDX,LimeGreen
98,2019-11-08T17:31:39.986721,15491,Y,RHA-446,Saturn S-Series,DimGray
99,2023-09-25T03:24:35.556442,18620,N,756-KLT,Toyota Prius,DeepPink
100,2024-10-12T12:26:58.516928,10167,N,501 UQK,Saturn Ion,Blue
101,2021-01-14T12:35:23.633427,10831,N,HAR 324,Mitsubishi Eclipse,DarkKhaki
102,2021-03-25T23:32:03.112688,7351,Y,379 4413,Ford Ranger Regular Cab,LightGray
103,2022-01-27T04:17:26.644928,8444,N,GKH 529,Jaguar F-TYPE,Khaki
104,2019-12-03T07:12:47.248832,1175,Y,TAK5716,Porsche Cayenne,LightPink
105,2024-01-31T07:00:58.668356,402,Y,9B435,Kia Sportage,Gold
106,2022-02-15T21:15:49.440801,17724,Y,Y12-HAN,Toyota RAV4,WhiteSmoke
107,2024-03-15T04:11:15.338386,171,Y,385071,GMC Suburban 2500,SlateGray
108,2022-04-15T13:38:14.753868,2126,Y,332 BET,Chevrolet Suburban 2500,BurlyWood
109,2021-11-13T03:28:05.671991,488,N,71MG4,Dodge Caravan Cargo,LightPink
110,2024-02-14T19:48:09.067389,8844,Y,SU 6780,Chevrolet Tahoe,PaleTurquoise
111,2020-07-11T18:58:16.517643,6024,Y,LQN 058,Lexus LX,PowderBlue
112,2022-03-19T19:07:22.224744,16891,Y,3255 CB,Ford Thunderbird,LightCyan
113,2022-05-31T22:09:08.903278,13637,N,964-UTZ,Nissan TITAN XD Crew Cab,Indigo
114,2020-01-07T05:24:46.048156,10163,Y,899-TPX,Nissan NV3500 HD Passenger,LightSkyBlue
115,2020-12-19T04:02:51.640274,16726,N,XWJ-3415,Mitsubishi i-MiEV,SandyBrown
116,2019-12-18T10:00:41.039065,4674,Y,32-RU79,Mitsubishi Montero Sport,MediumSlateBlue
117,2022-06-10T00:03:38.473906,3735,N,YAV-4207,Toyota Avalon,Wheat
118,2024-05-06T01:10:56.902528,5175,N,GSG-7874,Buick LeSabre,PaleVioletRed
119,2021-03-27T03:50:27.005923,10843,N,ZYB 379,Dodge Challenger,Tan
120,2021-02-03T04:16:10.101764,3699,N,LSU 109,Lexus IS F,LightCyan
121,2021-03-07T12:28:55.136600,116,Y,403 WUS,Ford Taurus,SandyBrown
122,2024-01-13T17:35:26.678110,3159,Y,VWX 695,Nissan Titan King Cab,Tomato
123,2020-11-24T00:55:57.962205,14433,Y,W 266727,Kia Spectra,DeepPink
124,2023-10-09T04:35:00.672671,15990,N,LTB 224,BMW 3 Series,DarkGray
125,2020-10-01T19:52:06.394567,15036,Y,869 LTB,GMC Savana 3500 Passenger,Maroon
126,2021-08-05T05:13:32.320644,15410,Y,MAT O40,Volvo S60,DarkSlateGray
127,2023-03-11T09:16:52.866157,5080,Y,571 ROE,Volkswagen GTI,LightSkyBlue
128,2023-05-01T06:32:22.183674,6204,Y,LIT 576,Jaguar XK,Silver
129,2024-04-27T06:57:26.861422,5679,N,906-JRY,Saturn S-Series,Gainsboro
130,2021-11-19T03:30:17.583332,18866,Y,TUR-358,Oldsmobile Custom Cruiser,DarkViolet
131,2024-10-23T08:43:23.756947,14081,Y,59J 7644,Chevrolet Silverado 2500 HD Extended Cab,Yellow
132,2021-08-13T17:52:39.071207,1397,Y,470 RPS,Toyota Land Cruiser,Black
133,2023-01-11T13:38:12.483245,184,N,XHH-367,Honda Ridgeline,IndianRed
134,2024-04-27T22:01:36.449010,5617,Y,59A 302,Chrysler 300,MediumAquaMarine
135,2023-06-23T23:26:02.172652,6457,Y,7F EQ473,Cadillac XTS,Olive
136,2020-12-28T19:31:38.690998,9545,N,000 ZAI,Porsche Taycan,PapayaWhip
137,2019-11-09T08:34:51.065364,11941,Y,048GMQ,Ford Escape,BlueViolet
138,2021-01-11T18:26:13.626604,5306,N,642-WBE,Nissan NV2500 HD Cargo,Gray
139,2022-09-16T22:43:43.827150,5048,Y,1URR 69,BMW 8 Series,PowderBlue
140,2022-07-29T13:50:01.985281,5193,Y,MQS4629,Kia Optima,Maroon
141,2022-02-21T19:01:21.019422,8623,Y,162I9,MAZDA MPV,Wheat
142,2020-06-10T12:52:40.154569,254,N,7XQP584,Audi S4,Cyan
143,2019-11-05T03:07:39.268180,15637,N,MOP-5763,Chevrolet Colorado Regular Cab,MediumVioletRed
144,2024-02-05T05:19:58.247652,8984,Y,764 YL2,INFINITI QX50,FloralWhite
145,2024-02-05T23:02:36.555057,13697,Y,5-81220N,Mercedes-Benz SL-Class,Lime
146,2020-11-24T05:24:16.051292,9082,N,60YV9,Volvo XC90,Aqua
147,2020-10-12T15:53:28.668861,7777,N,LYU-3174,Nissan NV200,Turquoise
148,2023-02-09T15:02:58.736520,13547,Y,USK 562,Mercedes-Benz Sprinter 3500 Cargo,LightGreen
149,2020-06-16T21:15:02.698708,7648,N,KY8 T4B,Nissan Altima,LightPink
150,2021-03-08T13:19:42.807814,6285,Y,4503,Porsche 911,Cornsilk
151,2020-04-25T06:48:43.815764,16397,N,ITL 867,Volkswagen GTI,DarkGoldenRod
152,2022-03-23T12:11:53.929016,1600,Y,NQL3822,Pontiac Bonneville,MidnightBlue
153,2023-06-27T08:45:04.207286,2057,Y,1O 2916Z,Lexus NX,PaleVioletRed
154,2020-02-20T02:49:43.912949,7402,N,HXJ 796,Cadillac Escalade ESV,Crimson
155,2020-03-26T06:52:46.755913,9811,N,5B I8959,Chevrolet Traverse,BurlyWood
156,2023-10-15T07:57:30.635309,1201,Y,482V,Toyota Tacoma Double Cab,Teal
157,2024-10-15T17:28:59.450401,782,N,E41-MGZ,Volkswagen Jetta,Green
158,2021-11-04T03:35:06.480547,2871,Y,RMV 035,Cadillac CTS,DarkCyan
159,2019-12-04T19:30:31.954530,126,Y,661-YFDL,Buick Encore,MistyRose
160,2023-10-04T23:05:35.824454,4738,Y,7CV 074,Chevrolet Beretta,HoneyDew
161,2023-08-27T16:01:20.519798,16842,Y,LQV 314,Ford Explorer Sport,MediumSpringGreen
162,2021-01-29T11:57:07.780799,15051,Y,LB9 Z0W,Chevrolet Silverado 2500 HD Crew Cab,DeepSkyBlue
163,2020-01-10T07:37:27.187367,11771,Y,X98 4BH,Toyota Sienna,Blue
164,2024-10-04T15:37:09.403371,14441,Y,876 TEG,BMW 5 Series,GreenYellow
165,2022-04-26T20:49:14.801624,129,Y,NFD-5201,Toyota Prius c,Cornsilk
166,2024-10-15T11:48:42.199507,194,Y,JI1 1829,MAZDA CX-9,DarkBlue
167,2024-08-15T01:12:48.774211,2411,N,QVC-8396,Mitsubishi Mirage,Ivory
168,2022-04-19T06:11:05.250787,3561,Y,594 GIX,Mercury Cougar,LightGray
169,2020-01-26T04:01:56.359330,14425,Y,H93 6ET,Nissan Altima,Teal
170,2021-04-02T11:30:31.432071,11095,N,67-C045,BMW M6,Tan
171,2020-11-16T14:09:27.291223,13892,N,ZET 557,Ford GT,Bisque
172,2022-10-01T11:35:26.921854,5520,N,W62 7BC,Volkswagen Atlas,DarkOrange
173,2023-11-10T06:21:03.980578,8074,Y,041PN,Chevrolet Silverado 3500 HD Double Cab,LightGreen
174,2020-11-19T12:24:12.513368,7848,Y,8-57890D,Jaguar XF,RoyalBlue
175,2021-11-26T19:34:14.013725,255,N,YQB 477,Acura TSX,DeepPink
176,2020-08-29T20:00:10.045494,3486,Y,JS7 9210,GMC Savana 3500 Cargo,DeepPink
177,2023-12-04T21:30:02.332156,3942,N,493-CTZ,Lamborghini Gallardo,Thistle
178,2020-07-14T09:20:44.112232,3304,Y,871DB,Hyundai Veloster,MintCream
179,2024-02-10T11:43:58.172795,18164,N,XPP Z53,Plymouth Neon,Gray
180,2020-03-09T21:50:53.434450,12359,Y,143H,Ford Explorer Sport,SeaShell
181,2022-04-22T17:35:08.964269,6326,N,154 FSK,Mitsubishi 3000GT,LightBlue
182,2019-11-26T01:11:14.177789,9039,N,7T L2809,McLaren 570S,Cyan
183,2022-01-30T20:25:16.925191,6271,Y,55-TG73,Dodge Ram Wagon 3500,LightYellow
184,2020-06-24T20:10:59.579763,3233,N,9-01763,MAZDA MX-5 Miata,MediumVioletRed
185,2024-05-14T09:53:29.993875,14575,Y,961-ICS,Mitsubishi Eclipse,OldLace
186,2020-06-13T23:43:54.801001,4871,Y,T67-VRO,Rolls-Royce Phantom,Sienna
187,2022-07-26T06:55:50.947155,2966,N,5L 0451I,Ford Explorer Sport,Olive
188,2020-12-30T07:56:14.425941,9780,Y,578 8936,Lincoln MKS,Peru
189,2023-10-23T07:05:00.717664,14317,N,6BC 850,Ford Mustang,PaleTurquoise
190,2022-09-12T17:04:04.698770,7927,N,992-OKW,GMC Savana 3500 Passenger,PaleGreen
191,2023-08-27T04:43:42.966730,4036,Y,KKP 298,Acura RDX,Green
192,2023-03-20T11:46:59.803677,4758,Y,54G•393,Acura Integra,LemonChiffon
193,2022-04-09T11:19:27.329860,4693,N,3U 67783,BMW X6 M,DarkOliveGreen
194,2023-01-06T23:06:44.312301,17519,N,MQW 0534,Honda Crosstour,Maroon
195,2024-09-29T18:13:33.412270,2246,Y,6HO5734,Chevrolet Express 2500 Cargo,MediumOrchid
196,2023-05-22T22:11:20.813026,10766,Y,01Z BW4,BMW 1 Series,Silver
197,2020-12-13T21:21:23.625164,3127,N,958 WDW,Cadillac CTS,MediumTurquoise
198,2022-03-12T07:23:13.246994,17078,N,440U,Mercedes-Benz G-Class,RosyBrown
199,2019-11-16T23:39:26.002690,7823,Y,653 2VG,BMW X4,Purple
200,2022-07-06T03:34:59.618830,5354,Y,8-K1677,MINI Hardtop 2 Door,PowderBlue
201,2020-04-20T06:24:56.808994,15364,Y,167 8FY,Toyota Tacoma Xtracab,GoldenRod
202,2023-03-01T09:22:35.445213,19614,Y,890 PDC,Volkswagen Routan,Moccasin
203,2024-07-06T23:58:09.017272,232,Y,KA 2676,Audi S5,Beige
204,2020-02-21T03:08:42.110097,13999,Y,16W 9089,Mercedes-Benz 500 SL,Lime
205,2020-09-08T01:47:57.639836,3297,N,144MTO,Kia Spectra,PaleGoldenRod
206,2022-06-26T09:59:41.561819,18853,N,313 EHM,GMC Savana 1500 Cargo,DarkRed
207,2024-03-22T10:40:03.578870,18966,Y,RH 6670,Eagle Talon,DarkSlateBlue
208,2020-11-12T20:06:41.351471,9726,N,87-7254Y,Chevrolet Silverado 3500 HD Regular Cab,Orange
209,2021-10-23T17:44:12.671808,7153,N,73-6437D,Buick Rainier,Ivory
210,2024-01-21T23:52:53.058568,12726,N,0-M1903,GMC Savana 3500 Cargo,Gold
211,2022-12-27T04:03:54.322347,5090,Y,738-UZS,Volkswagen Touareg,Green
212,2022-12-22T17:49:00.801417,15136,Y,54N J61,GMC Canyon Crew Cab,GreenYellow
213,2022-03-04T08:40:38.279055,496,N,5F415,BMW 5 Series,MediumSlateBlue
214,2023-03-20T19:36:14.104836,627,N,N21 8AE,Toyota 4Runner,MediumAquaMarine
215,2023-08-30T04:12:31.738909,16580,Y,455 EE2,INFINITI QX,MediumSpringGreen
216,2020-05-11T15:46:58.593928,12162,N,227 JZX,Chevrolet Silverado 3500 Regular Cab,Plum
217,2023-05-13T13:55:16.219683,2640,N,1L RN856,Acura TSX,Azure
218,2022-12-27T20:17:15.000086,2571,N,CDG 504,Saturn Ion,DarkOrchid
219,2020-02-04T11:59:32.980094,7480,N,385 DJP,Isuzu Trooper,DarkMagenta
220,2022-08-21T15:30:03.579085,3316,N,NY6 D4W,Pontiac Grand Prix,MediumAquaMarine
221,2022-02-10T03:02:14.507116,18708,Y,ZSO-702,Buick Terraza,Indigo
222,2020-03-18T20:06:34.481166,13634,N,SWY2290,Chrysler Grand Voyager,Navy
223,2024-07-05T09:17:11.473149,18277,Y,34G•687,Subaru Crosstrek,DarkOrange
224,2021-01-21T10:40:13.319417,18512,N,C86-BRR,BMW 3 Series,MistyRose
225,2023-08-01T02:41:40.998973,11819,N,626 2OC,FIAT 500L,BlanchedAlmond
226,2024-04-20T04:02:15.412760,18284,Y,9-15606,Chevrolet Avalanche 2500,SkyBlue
227,2024-10-18T07:29:51.437808,19266,N,CER 317,Ferrari F12berlinetta,FloralWhite
228,2024-04-09T16:13:04.388777,19666,Y,209 ADW,Audi S4,Silver
229,2024-05-25T12:16:55.500625,8953,N,1BE92,Toyota Land Cruiser,LightYellow
230,2020-04-08T20:52:41.695112,16566,N,745 VAT,Lexus GX,BlueViolet
231,2024-08-14T05:02:10.834419,19576,Y,HVP 779,Toyota Sienna,DodgerBlue
232,2022-11-24T15:46:23.529775,342,N,B78-PSW,Land Rover Discovery,Coral
233,2020-06-08T07:44:31.612343,11329,N,T64 3AT,BMW 5 Series,Cornsilk
234,2020-04-10T15:20:51.170044,7531,N,C 552381,Daewoo Nubira,HotPink
235,2019-12-26T00:44:15.362687,11692,Y,57O SA6,Nissan NV200 Taxi,DarkOrchid
236,2019-11-18T13:08:11.844784,18065,Y,MXT-755,Audi A3,OrangeRed
237,2020-10-13T13:37:42.429808,11434,N,S13-17K,Jeep Liberty,Bisque
238,2021-04-23T22:05:29.998946,14454,N,605 JLU,Alfa Romeo 164,Olive
239,2024-09-27T05:27:08.721538,16805,N,493 GWK,Nissan Pathfinder,Lime
240,2023-12-30T16:50:22.593332,9334,Y,989-ZFK,Honda Passport,Maroon
241,2022-06-05T22:05:59.731042,4466,N,VAA-4683,Dodge Avenger,LemonChiffon
242,2024-01-18T15:50:15.212786,13379,Y,247-BEK,Acura MDX Sport Hybrid,PaleVioletRed
243,2022-08-11T04:06:37.514181,7267,N,17J•623,Cadillac Escalade,DeepPink
244,2021-01-04T19:37:48.593708,10860,Y,HSK-9001,Honda Element,MintCream
245,2022-01-28T08:55:55.792461,14016,Y,46O T23,Ram 1500 Crew Cab,Chocolate
246,2023-08-15T11:34:33.310857,7520,N,323TFM,Cadillac XT5,GreenYellow
247,2023-03-12T04:02:56.198947,11242,N,N 124995,GMC Canyon Regular Cab,DeepPink
248,2022-12-24T04:34:48.660539,13478,Y,LEG-206,Subaru Legacy,Gray
249,2019-12-27T00:51:25.635059,2853,Y,1O922,Land Rover Defender 90,Ivory
250,2022-01-07T05:03:15.618464,12819,Y,QKL-6248,Chevrolet Blazer,Azure
251,2021-04-13T00:38:08.766763,14666,N,ESZ5003,MAZDA B-Series Cab Plus,LightBlue
252,2022-02-20T15:56:46.645336,14755,Y,6W930,GMC Savana 3500 Cargo,LightCyan
253,2024-04-20T05:24:05.019289,9377,Y,F61-ACI,GMC Sierra 2500 HD Double Cab,PaleVioletRed
254,2023-08-04T06:01:39.646253,5370,N,MUZ 790,Ford Windstar Cargo,PaleGreen
255,2023-05-19T12:18:08.019305,7552,Y,FQ 89439,Ford F150 (Heritage) Super Cab,Tan
256,2024-05-23T06:26:48.379285,16965,N,791 TAJ,Chevrolet G-Series G20,AntiqueWhite
257,2022-01-11T04:32:51.339650,11800,N,A04-73U,GMC Sierra (Classic) 1500 Crew Cab,MediumSlateBlue
258,2020-02-04T12:21:28.314929,7141,Y,94P•816,Lincoln MKT,Indigo
259,2023-03-23T15:30:54.462152,2379,Y,171 RH8,Ram 3500 Regular Cab,LightGoldenRodYellow
260,2023-06-08T23:29:46.137114,8931,Y,8-12801,Audi TT,PaleGoldenRod
261,2023-11-03T10:01:52.012577,1703,Y,912CD,Nissan Pathfinder,Brown
262,2023-11-14T10:37:23.325885,7531,Y,60-O298,Isuzu Regular Cab,CornflowerBlue
263,2023-05-12T03:28:49.110395,7612,N,2-94725D,Isuzu Rodeo,Blue
264,2021-10-08T18:03:56.693189,19874,N,GZM 827,Ford Econoline E150 Cargo,SeaShell
265,2021-09-19T00:14:36.636510,4063,N,1L 4322R,BMW i8,DimGray
266,2021-06-07T04:53:34.874875,15041,N,JIZ-651,Ford Fusion,Ivory
267,2020-12-06T06:11:42.092008,6684,N,222-TCK,Chevrolet Astro Cargo,MediumSpringGreen
268,2023-03-20T17:01:19.830867,7737,N,CB-5069,Buick Rendezvous,NavajoWhite
269,2022-12-03T13:22:48.756797,6540,N,42-38507,Chevrolet Tahoe,OrangeRed
270,2024-09-02T04:35:54.187535,6474,Y,2BA4856,MAZDA MAZDA3,MediumVioletRed
271,2020-09-25T00:26:05.750451,7134,N,A25 6KL,BMW Z4,RosyBrown
272,2019-12-20T18:51:24.065597,9811,Y,140 GBE,Jeep Cherokee,HotPink
273,2023-10-29T10:06:27.257927,6539,N,56-EF45,GMC Sierra 2500 HD Extended Cab,MediumBlue
274,2023-12-15T11:51:28.735751,2222,N,4-68571E,Nissan Frontier King Cab,SpringGreen
275,2021-01-02T18:19:00.811975,18243,Y,0K L7087,Volkswagen Jetta,OliveDrab
276,2020-04-07T12:33:39.906779,12113,Y,HSD 979,Toyota Avalon,DarkGreen
277,2023-10-20T01:49:06.486393,9721,Y,4-27101,Aston Martin Vantage,Turquoise
278,2022-10-27T22:38:29.450497,13533,Y,4DO09,Ford Ranger Regular Cab,DarkViolet
279,2020-12-17T07:46:11.866628,9424,N,XR9 L5U,Chevrolet Metro,Turquoise
280,2020-01-27T19:21:59.314107,12354,N,480 HXH,Audi Q3,DarkOliveGreen
281,2020-07-15T21:18:24.308439,4347,N,1-59749,Rolls-Royce Wraith,GhostWhite
282,2022-03-03T00:27:10.513027,7174,Y,R00-67X,Dodge Challenger,Plum
283,2021-05-06T09:59:52.295826,5906,Y,KEJ 900,Ford Ranger Regular Cab,PaleVioletRed
284,2021-11-25T08:49:27.383847,9186,N,8176 QR,Cadillac CTS,MediumOrchid
285,2022-04-20T10:49:15.063140,10957,N,G14 7IV,Plymouth Grand Voyager,Peru
286,2023-01-03T23:33:13.473368,10583,N,1UMQ818,Audi A6,WhiteSmoke
287,2024-09-19T23:53:23.782530,16359,Y,ONJ-353,Nissan Pathfinder,LightSkyBlue
288,2020-06-27T07:04:16.894263,4665,Y,588FZW,MAZDA B-Series Regular Cab,CornflowerBlue
289,2020-06-23T08:07:27.904288,9163,N,KS 9338,Buick Century,GreenYellow
290,2021-09-27T14:25:22.843381,16282,N,HLD-897,Volkswagen Beetle,DarkMagenta
291,2022-09-19T00:23:35.274125,2656,N,NSI 152,Isuzu Rodeo,Pink
292,2020-06-27T23:27:26.062543,13473,Y,IWN O03,Maserati GranTurismo,Pink
293,2021-01-19T12:03:08.931334,7990,N,622CG,Ram ProMaster 3500 Cargo,DimGray
294,2023-01-28T06:17:02.773138,9812,N,280B6,Land Rover LR2,IndianRed
295,2022-10-03T20:16:21.261114,5022,Y,YTN5496,Chevrolet Express 1500 Cargo,Teal
